2026-04-01-source-recalc-msk-yandexmaps-продажи,2026-04-01,2026-04,1,источники,Яндекс Карты,Продажи,0,25,0,Roistat report-24 апрель-июль: недельные суммы по воронке МСК АШ [SOURCE_CITY=МСК],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-2gis-лиды,2026-04-01,2026-04,1,источники,2ГИС,Лиды,0,18,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-2gis-квалы,2026-04-01,2026-04,1,источники,2ГИС,Квалы,0,7,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-seo-лиды,2026-04-01,2026-04,1,источники,SEO,Лиды,0,20,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-seo-квалы,2026-04-01,2026-04,1,источники,SEO,Квалы,0,14,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-seo-продажи,2026-04-01,2026-04,1,источники,SEO,Продажи,0,6,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-googlemaps-лиды,2026-04-01,2026-04,1,источники,Гугл Карты,Лиды,0,16,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-googlemaps-квалы,2026-04-01,2026-04,1,источники,Гугл Карты,Квалы,0,8,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-googlemaps-продажи,2026-04-01,2026-04,1,источники,Гугл Карты,Продажи,0,3,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-direct-лиды,2026-04-01,2026-04,1,источники,Директ,Лиды,0,61,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
